iri,source_file,parent_iris,label_en,label_de,label_none,definition_en,definition_de,definition_none,label_en_suggested,label_de_suggested,definition_en_suggested,definition_de_suggested,notes
https://w3id.org/pmd/co/PMD_0000554,src/ontology/components/pmdco-characterization.owl,http://purl.obolibrary.org/obo/OBI_0000070,chemical property analyzing process,Chemische Eigenschaften Analyseverfahren,,"An assay that determines the chemical composition, reactivity, and chemical stability of materials, including the identification and quantification of chemical elements and compounds.","Eine Analyse, die die chemische Zusammensetzung, Reaktivität und chemische Stabilität von Materialien bestimmt, einschließlich der Identifizierung und Quantifizierung chemischer Elemente und Verbindungen.",,,chemische-Eigenschaften-Analyseverfahren,"assay that determines the chemical composition, reactivity, and chemical stability of a material by identifying and quantifying its constituent chemical elements and compounds","Prüfverfahren, das die chemische Zusammensetzung, Reaktivität und chemische Stabilität eines Materials durch Identifizierung und Quantifizierung seiner chemischen Bestandteile und Verbindungen bestimmt",
https://w3id.org/pmd/co/PMD_0000556,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000957,chromatography process,Chromatographieverfahren,,A structural property analyzing process that enables the separation and analysis of compounds in a mixture by their distribution between a mobile and a stationary phase.,"Ein Struktur Eigenschaften Analyseverfahren, das die Trennung und Analyse von Verbindungen in einem Gemisch durch ihre Verteilung zwischen einer mobilen und einer stationären Phase ermöglicht.",,,,structural property analysing process that separates and identifies the compounds in a mixture by their differential distribution between a mobile phase and a stationary phase,"Strukturelle-Eigenschaften-Analyseverfahren, das die Verbindungen eines Gemisches durch ihre unterschiedliche Verteilung zwischen einer mobilen und einer stationären Phase trennt und identifiziert",
https://w3id.org/pmd/co/PMD_0000581,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,compression testing process,Druckprüfverfahren,,"A mechanical property analyzing processs that determines a material's behavior under compressive forces, measuring its compressive strength and modulus.","Ein Mechanische Eigenschaften Analyseverfahren, das das Verhalten eines Materials unter Druckkräften bestimmt und seine Druckfestigkeit und seinen Druckmodul misst.",,,,mechanical property analysing process that determines the behaviour of a material under compressive forces by measuring its compressive strength and compressive modulus,"Mechanische-Eigenschaften-Analyseverfahren, das das Verhalten eines Materials unter Druckbelastung durch Messung seiner Druckfestigkeit und seines Druckmoduls bestimmt",
https://w3id.org/pmd/co/PMD_0000589,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,creep testing process,Kriechprüfverfahren,,"A mechanical property analyzing process that evaluates a material's deformation over time under constant stress and temperature, determining its creep behavior.","Ein Mechanische Eigenschaften Analyseverfahren, das die Verformung eines Materials über die Zeit unter konstanter Belastung und Temperatur bewertet und sein Kriechverhalten bestimmt.",,,,mechanical property analysing process that determines the time-dependent deformation of a material subjected to constant stress at a defined temperature,"Mechanische-Eigenschaften-Analyseverfahren, das die zeitabhängige Verformung eines Materials unter konstanter Belastung bei definierter Temperatur bestimmt",
https://w3id.org/pmd/co/PMD_0000606,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000982,differential scanning calorimetry process,Dynamische Differenzkalorimetrie-Verfahren,,"A thermal property analyzing process that measures the heat flow into or out of a material as it is heated, cooled, or held at a constant temperature, determining its thermal transitions such as melting, crystallization, and glass transitions.","Ein Thermische Eigenschaften Analyseverfahren, das den Wärmestrom in oder aus einem Material misst, während es erhitzt, gekühlt oder bei konstanter Temperatur gehalten wird, um seine thermischen Übergänge wie Schmelzen, Kristallisation und Glasübergänge zu bestimmen.",,,dynamische-Differenzkalorimetrie-Verfahren,"thermal property analysing process that measures the differential heat flow into or out of a sample relative to a reference as a function of a controlled temperature programme, identifying thermal transitions such as melting, crystallisation, and glass transition","Thermische-Eigenschaften-Analyseverfahren, das den differenziellen Wärmestrom zwischen Probe und Referenz in Abhängigkeit eines geregelten Temperaturprogramms misst, um thermische Übergänge wie Schmelzen, Kristallisation und Glasübergang zu bestimmen",
https://w3id.org/pmd/co/PMD_0000607,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000982,differential thermal analysis process,Differenzthermoanalyse-Verfahren,,"A thermal property analyzing process that measures the temperature difference between a sample and a reference material as they are subjected to a controlled temperature program, identifying phase transitions and reactions.","Ein Thermische Eigenschaften Analyseverfahren, das die Temperaturdifferenz zwischen einer Probe und einem Referenzmaterial misst, während sie einem kontrollierten Temperaturprogramm unterzogen werden, um Phasenübergänge und Reaktionen zu identifizieren.",,,differenzthermoanalyse-Verfahren,thermal property analysing process that measures the temperature difference between a sample and a reference material subjected to the same controlled temperature programme in order to identify phase transitions and chemical reactions,"Thermische-Eigenschaften-Analyseverfahren, das die Temperaturdifferenz zwischen einer Probe und einem Referenzmaterial unter gleichem geregeltem Temperaturprogramm misst, um Phasenübergänge und chemische Reaktionen zu identifizieren",
https://w3id.org/pmd/co/PMD_0000611,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000957,dimension measuring process,Dimensions Messprozess,,"A structural property analyzing process that determines the physical dimensions of a material or object, such as length, width, height, diameter, and thickness, with high accuracy and precision.","Ein Struktur Eigenschaften Analyseverfahren, das die physikalischen Dimensionen eines Materials oder Objekts, wie Länge, Breite, Höhe, Durchmesser und Dicke, mit hoher Genauigkeit und Präzision bestimmt.",,,dimensionsmessverfahren,"structural property analysing process that determines the geometric dimensions of a material or object, such as length, width, height, diameter, and thickness","Strukturelle-Eigenschaften-Analyseverfahren, das die geometrischen Abmessungen eines Materials oder Objekts, wie Länge, Breite, Höhe, Durchmesser und Dicke, bestimmt",
https://w3id.org/pmd/co/PMD_0000616,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,dynamic mechanical analysis process,Dynamisch-mechanische Analyse-Verfahren,,"A mechanical property analyzing process that measures the mechanical properties of a material as a function of temperature, time, frequency, and stress, determining its viscoelastic behavior.","Ein Mechanische Eigenschaften Analyseverfahren, welcher die mechanischen Eigenschaften eines Materials in Abhängigkeit von Temperatur, Zeit, Frequenz und Spannung misst und dessen viskoelastisches Verhalten bestimmt.",,,dynamisch-mechanische-Analyse-Verfahren,"mechanical property analysing process that determines the viscoelastic behaviour of a material by measuring its mechanical response as a function of temperature, time, and oscillation frequency","Mechanische-Eigenschaften-Analyseverfahren, das das viskoelastische Verhalten eines Materials durch Messung seiner mechanischen Antwort als Funktion von Temperatur, Zeit und Schwingungsfrequenz bestimmt",
https://w3id.org/pmd/co/PMD_0000622,src/ontology/components/pmdco-characterization.owl,http://purl.obolibrary.org/obo/OBI_0000070,electrical property analyzing process,Elektrische Eigenschaften Analyseverfahren,,"An assay that determines the electrical properties of materials, including electrical conductivity, resistivity, dielectric strength, and electrical charge storage capabilities.","Eine Analyse, die die elektrischen Eigenschaften von Materialien bestimmt, einschließlich elektrischer Leitfähigkeit, Widerstand, dielektrischer Festigkeit und elektrischer Ladungsspeicherkapazitäten.",,,elektrische-Eigenschaften-Analyseverfahren,"assay that determines the electrical properties of a material, including electrical conductivity, resistivity, dielectric strength, and charge storage capacity","Prüfverfahren, das die elektrischen Eigenschaften eines Materials bestimmt, einschließlich elektrischer Leitfähigkeit, elektrischen Widerstands, Durchschlagfestigkeit und Ladungsspeichervermögens",
https://w3id.org/pmd/co/PMD_0000625,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000856,electron microscopy,Elektronenmikroskopie,,"A microscopy process that uses a beam of electrons to create an image of an object, allowing for high-resolution visualization of the material's surface and internal structures.","Ein Mikroskopieverfahren, das einen Elektronenstrahl verwendet, um ein Bild eines Objekts zu erzeugen, wodurch eine hochauflösende Visualisierung der Oberfläche und der inneren Strukturen des Materials ermöglicht wird.",,,,"microscopy process that uses a focused beam of electrons to image a specimen, enabling high-resolution visualization of surface and internal structures","Mikroskopieverfahren, das einen fokussierten Elektronenstrahl verwendet, um ein Bild einer Probe zu erzeugen und eine hochauflösende Darstellung von Oberflächen- und Innenstrukturen zu ermöglichen",
https://w3id.org/pmd/co/PMD_0000626,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000945,electron spectroscopy,Elektronenspektroskopie,,"A spectroscopy process, that studies the energy distribution of electrons emitted from a sample when it is irradiated with electromagnetic radiation or bombarded with particles.","Ein Spektroskopie Verfahren, das die Energieverteilung von Elektronen untersucht, die aus einer Probe emittiert werden, wenn diese mit elektromagnetischer Strahlung bestrahlt oder mit Teilchen bombardiert wird.",,,,spectroscopy process that studies the energy distribution of electrons emitted from a sample upon irradiation with electromagnetic radiation or bombardment with particles,"Spektroskopieverfahren, das die Energieverteilung von Elektronen untersucht, die aus einer Probe emittiert werden, wenn diese mit elektromagnetischer Strahlung bestrahlt oder mit Teilchen beschossen wird",
https://w3id.org/pmd/co/PMD_0000638,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849 | [complex],fatigue testing process,Ermüdungsprüfverfahren,,"Fatigue testing process is a  mechanical property analyzing process that assesses a material's ability to withstand cyclic loading, determining its fatigue life and endurance limit. It must have occurent parts single fatigue tests.","Ein Mechanische Eigenschaften Analyseverfahren, das die Fähigkeit eines Materials bewertet, zyklischen Belastungen standzuhalten, und seine Ermüdungslebensdauer und -grenze bestimmt.",,,,mechanical property analyzing process that assesses a material's ability to withstand cyclic loading by determining its fatigue life and endurance limit,"mechanisches Eigenschaftsanalyseverfahren, das die Fähigkeit eines Werkstoffs bewertet, zyklischen Belastungen standzuhalten, indem Ermüdungslebensdauer und Dauerfestigkeitsgrenze bestimmt werden",
https://w3id.org/pmd/co/PMD_0000653,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,fracture toughness testing process,Bruchzähigkeitsprüfverfahren,,"A mechanical property analyzing process that assesses a material's ability to resist crack propagation, determining its fracture toughness.","Ein Mechanische Eigenschaften Analyseverfahren, das die Fähigkeit eines Materials bewertet, der Rissausbreitung zu widerstehen, und seine Bruchzähigkeit bestimmt.",,,,mechanical property analyzing process that assesses a material's resistance to crack propagation in order to determine its fracture toughness,"mechanisches Eigenschaftsanalyseverfahren, das den Widerstand eines Werkstoffs gegen Rissausbreitung bewertet, um seine Bruchzähigkeit zu bestimmen",
https://w3id.org/pmd/co/PMD_0000656,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000556,gas chromatography process,Gaschromatographie Verfahren,,"A chromatography process that separates and analyzes compounds that can be vaporized without decomposition, using a gas as the mobile phase and a solid or liquid stationary phase.","Ein Chromatographieverfahren, das Verbindungen trennt und analysiert, die ohne Zersetzung verdampft werden können, indem ein Gas als mobile Phase und eine feste oder flüssige stationäre Phase verwendet wird.",,,gaschromatographieverfahren,"chromatography process that separates and analyzes vaporizable compounds without decomposition, using a gas as the mobile phase and a solid or liquid stationary phase","Chromatographieverfahren, das verdampfbare Verbindungen ohne Zersetzung trennt und analysiert, wobei ein Gas als mobile Phase und ein fester oder flüssiger Stoff als stationäre Phase dient",
https://w3id.org/pmd/co/PMD_0000658,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000556,gel permeation chromatography process,Gel-Permeations-Chromatographie Verfahren,,"A chromatography process that separates molecules based on their size by passing the sample through a porous gel matrix, also known as size exclusion chromatography.","Ein Chromatographieverfahren, das Moleküle basierend auf ihrer Größe trennt, indem die Probe durch eine poröse Gelmatrix geleitet wird, auch bekannt als Größenausschlusschromatographie.",,,gelpermeationschromatographieverfahren,chromatography process that separates macromolecules according to their hydrodynamic size by passing the sample through a porous gel matrix,"Chromatographieverfahren, das Makromoleküle nach ihrer hydrodynamischen Größe trennt, indem die Probe durch eine poröse Gelmatrix geleitet wird",
https://w3id.org/pmd/co/PMD_0000666,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000957,gravimetrical analyzing process,Gravimetrisches Analyseverfahren,,"A structural property analyzing process that measures the quantity of a substance by its mass, often involving the precipitation, filtration, drying, and weighing of the substance.","Ein Struktur Eigenschaften Analyseverfahren, das die Menge einer Substanz durch ihre Masse misst und dabei häufig die Fällung, Filtration, Trocknung und Wägung der Substanz umfasst.",,gravimetric analyzing process,gravimetrisches Analyseverfahren,"structural property analyzing process that determines the quantity of a substance by measuring its mass, typically involving precipitation, filtration, drying, and weighing steps","Struktureigenschaftsanalyseverfahren, das die Menge einer Substanz durch Messung ihrer Masse bestimmt und dabei in der Regel Fällung, Filtration, Trocknung und Wägung umfasst",
https://w3id.org/pmd/co/PMD_0000776,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,hardness testing process,Härteprüfverfahren,,"A mechanical property analyzing process that measures a material's resistance to deformation, typically using indentation methods to determine hardness.","Ein Mechanische Eigenschaften Analyseverfahren, das den Widerstand eines Materials gegen Verformung misst und typischerweise Eindringverfahren verwendet, um die Härte zu bestimmen.",,,,mechanical property analyzing process that measures a material's resistance to permanent deformation using indentation methods to determine hardness,"mechanisches Eigenschaftsanalyseverfahren, das den Widerstand eines Werkstoffs gegen bleibende Verformung mithilfe von Eindringverfahren bestimmt, um die Härte zu ermitteln",
https://w3id.org/pmd/co/PMD_0000782,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000556,high-performance liquid chromatography process,Hochleistungsflüssigkeitschromatographie Verfahren,,"A chromatography process that separates, identifies, and quantifies components in a liquid sample using high pressure to pass the sample through a column packed with a stationary phase.","Ein Chromatographieverfahren, das Komponenten in einer flüssigen Probe trennt, identifiziert und quantifiziert, indem hoher Druck verwendet wird, um die Probe durch eine mit einer stationären Phase gefüllte Säule zu leiten.",,,hochleistungsflüssigkeitschromatographieverfahren,"chromatography process that separates, identifies, and quantifies components in a liquid sample by forcing the sample under high pressure through a column packed with a stationary phase","Chromatographieverfahren, das Komponenten einer flüssigen Probe trennt, identifiziert und quantifiziert, indem die Probe unter hohem Druck durch eine mit stationärer Phase gefüllte Säule gepresst wird",
https://w3id.org/pmd/co/PMD_0000788,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,impact testing process,Schlagprüfverfahren,,"A mechanical property analyzing process that determines a material's ability to absorb energy and withstand impact forces, typically using pendulum or drop-weight testers.","Ein Mechanische Eigenschaften Analyseverfahren, das die Fähigkeit eines Materials bestimmt, Energie zu absorbieren und Schlagkräfte zu widerstehen, typischerweise unter Verwendung von Pendel- oder Fallgewichtsprüfgeräten.",,,,"mechanical property analyzing process that determines a material's ability to absorb energy under impact loading, using pendulum or drop-weight testing methods","mechanisches Eigenschaftsanalyseverfahren, das die Fähigkeit eines Werkstoffs bestimmt, Energie unter Schlagbelastung zu absorbieren, unter Verwendung von Pendel- oder Fallgewichtsprüfgeräten",
https://w3id.org/pmd/co/PMD_0000795,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000556,ion exchange chromatography process,Ionenaustauschchromatographie Verfahren,,A chromatography process that separates ions and polar molecules based on their charge by using an ion exchange resin to attract and retain the ions from the sample.,"Ein Chromatographieverfahren, das Ionen und polare Moleküle basierend auf ihrer Ladung trennt, indem ein Ionenaustauscherharz verwendet wird, um die Ionen aus der Probe anzuziehen und zu halten.",,,ionenaustauschchromatographieverfahren,chromatography process that separates ions and polar molecules according to their charge by retaining them on an ion-exchange resin and eluting them selectively,"Chromatographieverfahren, das Ionen und polare Moleküle entsprechend ihrer Ladung trennt, indem sie an einem Ionenaustauscherharz zurückgehalten und selektiv eluiert werden",
https://w3id.org/pmd/co/PMD_0000798,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000856,ion microscopy,Ionenmikroskopie,,"A microscopy process that uses a focused beam of ions to image a specimen, providing high-resolution images and compositional information, often used for surface analysis and depth profiling.","Ein Mikroskopieverfahren, das einen fokussierten Ionenstrahl verwendet, um ein Bild einer Probe zu erzeugen, hochauflösende Bilder und Zusammensetzungsinformationen liefert und häufig für Oberflächenanalysen und Tiefenprofilierung verwendet wird.",,,,"microscopy process that uses a focused beam of ions to image a specimen, providing high-resolution images and compositional information for surface analysis and depth profiling","Mikroskopieverfahren, das einen fokussierten Ionenstrahl verwendet, um eine Probe abzubilden und hochauflösende Bilder sowie Zusammensetzungsinformationen für Oberflächenanalyse und Tiefenprofilierung bereitzustellen",
https://w3id.org/pmd/co/PMD_0000800,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000945,ion spectroscopy,Ionenspektroskopie,,"A spectroscopy process, that analyzes the properties and behavior of ions in a sample by measuring their interaction with electromagnetic fields or other ions.","Ein Spektroskopie Verfahren, das die Eigenschaften und das Verhalten von Ionen in einer Probe analysiert, indem es ihre Wechselwirkung mit elektromagnetischen Feldern oder anderen Ionen misst.",,,,spectroscopy process that analyzes the properties and behavior of ions in a sample by measuring their interaction with electromagnetic fields or other ions,"Spektroskopieverfahren, das die Eigenschaften und das Verhalten von Ionen in einer Probe analysiert, indem deren Wechselwirkung mit elektromagnetischen Feldern oder anderen Ionen gemessen wird",
https://w3id.org/pmd/co/PMD_0000816,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000945,laser spectroscopy,Laserspektroskopie,,"A spectroscopy process, that uses laser light to probe the properties of materials.","Ein Spektroskopie Verfahren, das Laserlicht verwendet, um die Eigenschaften von Materialien zu untersuchen.",,,,spectroscopy process that uses laser light as a coherent and monochromatic radiation source to probe the spectral properties of materials,"Spektroskopieverfahren, das Laserlicht als kohärente und monochromatische Strahlungsquelle verwendet, um die spektralen Eigenschaften von Materialien zu untersuchen",
https://w3id.org/pmd/co/PMD_0000819,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000875,light microscopy,Lichtmikroskopie,,"An optical microscopy process that uses visible light and lenses to magnify and visualize specimens, enabling the study of the microstructure and morphology of materials.","Ein optisches Mikroskopieverfahren, das sichtbares Licht und Linsen verwendet, um Proben zu vergrößern und zu visualisieren, wodurch die Untersuchung der Mikrostruktur und Morphologie von Materialien ermöglicht wird.",,,,"optical microscopy process that uses visible light and lenses to magnify specimens, enabling the study of microstructure and morphology of materials","optisches Mikroskopieverfahren, das sichtbares Licht und Linsen verwendet, um Proben zu vergrößern und die Untersuchung von Mikrostruktur und Morphologie von Werkstoffen zu ermöglichen",
https://w3id.org/pmd/co/PMD_0000829,src/ontology/components/pmdco-characterization.owl,http://purl.obolibrary.org/obo/OBI_0000070,magneto electrical property analyzing process,Magnetische Elektrische Eigenschaften Analyseverfahren,,"An assay that investigates the magnetic and electrical properties of materials, including conductivity, resistivity, permittivity, permeability, and magnetization.","Eine Analyse, die die magnetischen und elektrischen Eigenschaften von Materialien untersucht, einschließlich Leitfähigkeit, Widerstand, Permittivität, Permeabilität und Magnetisierung.",,magneto-electrical property analyzing process,magnetisch-elektrisches Eigenschaftsanalyseverfahren,"assay that investigates the magnetic and electrical properties of materials, including conductivity, resistivity, permittivity, permeability, and magnetization","Analyse, die die magnetischen und elektrischen Eigenschaften von Werkstoffen untersucht, einschließlich elektrischer Leitfähigkeit, Widerstand, Permittivität, Permeabilität und Magnetisierung",
https://w3id.org/pmd/co/PMD_0000836,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000945,mass spectrometry,Massenspektroskopie,,A spectroscopy process that measures the mass-to-charge ratio of ions to identify and quantify molecules in a sample.,"Ein Spektroskopie Verfahren, das das Masse-zu-Ladung-Verhältnis von Ionen misst, um Moleküle in einer Probe zu identifizieren und zu quantifizieren.",,mass spectrometry process,massenspektrometrieverfahren,spectroscopy process that ionizes chemical compounds and measures the mass-to-charge ratio of the resulting ions to identify and quantify molecules in a sample,"Spektroskopieverfahren, das chemische Verbindungen ionisiert und das Masse-zu-Ladung-Verhältnis der erzeugten Ionen misst, um Moleküle in einer Probe zu identifizieren und zu quantifizieren",
https://w3id.org/pmd/co/PMD_0000849,src/ontology/components/pmdco-characterization.owl,http://purl.obolibrary.org/obo/OBI_0000070,mechanical property analyzing process,Mechanische Eigenschaften Analyseverfahren,,"An assay that evaluates the mechanical characteristics of materials, such as strength, hardness, elasticity, and tensile properties, often through tests that measure response to forces and loads.","Eine Analyse, die die mechanischen Eigenschaften von Materialien bewertet, wie z.B. Festigkeit, Härte, Elastizität und Zugfestigkeit, oft durch Tests, die die Reaktion auf Kräfte und Lasten messen.",,,mechanisches Eigenschaftsanalyseverfahren,"assay that evaluates the mechanical characteristics of materials, such as strength, hardness, elasticity, and deformation behaviour, by measuring their response to applied forces and loads","Analyse, die mechanische Eigenschaften von Werkstoffen wie Festigkeit, Härte, Elastizität und Verformungsverhalten durch Messung der Reaktion auf aufgebrachte Kräfte und Lasten bewertet",
